id_funcionario,data_reembolso,categoria,valor,descricao
1061,2024-12-20,Transporte,23.69,Reembolso de combustível
1088,2024-11-12,Educação,213.96,Inscrição em conferência da área
1027,2024-11-14,Outros,137.96,Compra emergencial durante viagem
1067,2024-10-31,Transporte,175.51,Reembolso de combustível
1097,2024-12-30,Educação,355.66,Treinamento obrigatório da empresa
1098,2025-01-31,Alimentação,39.94,Almoço com cliente em restaurante local
1088,2024-10-17,Educação,348.6,Inscrição em conferência da área
1024,2024-10-14,Transporte,38.11,Estacionamento em local de reunião
1098,2024-12-28,Outros,362.4,Compra de material de escritório
1091,2025-02-18,Hotel,505.78,Reembolso de hospedagem em congresso
1044,2025-02-07,Educação,290.64,Workshop de capacitação
1074,2025-01-08,Outros,398.87,Serviços de impressão para apresentação
1091,2025-01-08,Hotel,342.57,Hospedagem em viagem a trabalho
1064,2024-11-27,Hotel,320.58,Diária de hotel em missão comercial
1046,2025-03-08,Alimentação,62.49,Café da manhã durante evento corporativo
1046,2024-12-28,Educação,403.84,Treinamento obrigatório da empresa
1047,2025-03-20,Outros,10.0,Reembolso de brindes para cliente
1029,2025-02-11,Alimentação,10.0,Jantar em viagem de negócios
1085,2024-12-05,Transporte,81.95,Reembolso de combustível
1044,2024-12-18,Alimentação,96.55,Jantar em viagem de negócios
1074,2024-11-09,Educação,420.03,Workshop de capacitação
1082,2025-03-30,Transporte,81.47,Táxi do aeroporto ao hotel
1067,2025-03-21,Hotel,517.71,Estadia para evento corporativo
1067,2024-11-05,Alimentação,114.62,Café da manhã durante evento corporativo
1074,2024-11-29,Outros,10.0,Reembolso de brindes para cliente
1074,2024-11-23,Transporte,84.46,Aluguel de carro para deslocamento profissional
1044,2025-04-14,Hotel,638.08,Hospedagem em viagem a trabalho
1097,2025-04-05,Alimentação,93.48,Almoço com cliente em restaurante local
1046,2025-02-06,Transporte,79.61,Estacionamento em local de reunião
1046,2024-11-07,Alimentação,81.03,Compra de lanche em aeroporto
1098,2024-12-01,Alimentação,10.0,Café da manhã durante evento corporativo
1067,2025-04-13,Transporte,73.67,Táxi do aeroporto ao hotel
1011,2024-12-30,Transporte,118.14,Reembolso de combustível
1046,2025-03-27,Alimentação,50.53,Jantar em viagem de negócios
1067,2024-11-21,Transporte,102.36,Corrida de aplicativo para reunião externa
1041,2024-10-15,Hotel,689.37,Diária em hotel durante treinamento
1000,2025-02-18,Educação,265.75,Treinamento obrigatório da empresa
1016,2025-04-10,Hotel,634.09,Estadia para evento corporativo
1059,2025-01-30,Transporte,61.49,Táxi do aeroporto ao hotel
1004,2025-04-06,Educação,279.34,Compra de livro técnico
1088,2025-03-01,Hotel,722.04,Hospedagem em viagem a trabalho
1036,2024-12-07,Outros,223.55,Compra emergencial durante viagem
1047,2024-12-03,Transporte,76.54,Estacionamento em local de reunião
1082,2025-03-29,Educação,322.42,Workshop de capacitação
1004,2025-03-16,Hotel,742.92,Hospedagem em viagem a trabalho
1082,2025-01-01,Alimentação,18.5,Compra de lanche em aeroporto
1024,2025-02-16,Outros,373.86,Compra de material de escritório
1082,2024-11-23,Outros,149.56,Serviços de impressão para apresentação
1067,2025-01-25,Transporte,117.02,Estacionamento em local de reunião
1016,2025-03-05,Educação,419.72,Inscrição em conferência da área
1011,2025-04-10,Alimentação,38.85,Jantar em viagem de negócios
1047,2024-10-16,Hotel,458.11,Hospedagem em viagem a trabalho
1057,2025-02-27,Alimentação,71.34,Café da manhã durante evento corporativo
1022,2025-02-12,Alimentação,56.49,Café da manhã durante evento corporativo
1061,2025-02-23,Transporte,169.4,Corrida de aplicativo para reunião externa
1047,2024-12-05,Hotel,428.65,Diária em hotel durante treinamento
1004,2025-03-27,Alimentação,63.33,Almoço com cliente em restaurante local
1091,2024-12-02,Educação,320.44,Compra de livro técnico
1029,2025-01-24,Educação,179.79,Compra de livro técnico
1091,2025-02-28,Hotel,520.86,Diária de hotel em missão comercial
1091,2025-03-07,Alimentação,89.52,Refeição após reunião externa
1074,2025-03-05,Transporte,86.69,Táxi do aeroporto ao hotel
1022,2025-01-30,Alimentação,77.2,Almoço com cliente em restaurante local
1045,2025-02-16,Alimentação,64.12,Café da manhã durante evento corporativo
1088,2025-04-01,Alimentação,34.57,Almoço com cliente em restaurante local
1011,2024-12-12,Transporte,112.86,Aluguel de carro para deslocamento profissional
1029,2024-11-21,Alimentação,132.65,Compra de lanche em aeroporto
